resource,consumer
Arbacia dufresnii,Pinguipes brasilianus
Aulacomya atra,Pinguipes brasilianus
Cyrtograpsus spp,Pinguipes brasilianus
Eunicidae,Pinguipes brasilianus
Eurypodius latreillii,Pinguipes brasilianus
Fissurella spp,Pinguipes brasilianus
isopods,Pinguipes brasilianus
Leucippa pentagona,Pinguipes brasilianus
Mytilus edulis,Pinguipes brasilianus
Nacella magellanica,Pinguipes brasilianus
Nereididae,Pinguipes brasilianus
Pagurus comptus,Pinguipes brasilianus
Pseudoechinus magellanicus,Pinguipes brasilianus
Ribeiroclinus eigenmanni,Pinguipes brasilianus
Triathalassothia argentina,Pinguipes brasilianus
Aphrodite,Pinguipes brasilianus
Amphipoda,Pleoticus muelleri
Aphrodite,Pleoticus muelleri
Asteroidea,Pleoticus muelleri
Bivalve,Pleoticus muelleri
Bryozoa,Pleoticus muelleri
Copepoda,Pleoticus muelleri
detritus,Pleoticus muelleri
Euphausiacea,Pleoticus muelleri
